No,product,policy_year,policy_month,policy_day,sex,age,term,deposits,number,premium,amount,deposit_year,deposit_month
4,T,2022,1,1,F,20,20,39,2,1480,10000000,2024,9
4,T,2022,1,1,F,20,20,39,2,1480,10000000,2024,10
4,T,2022,1,1,F,20,20,39,2,1480,10000000,2024,11
4,T,2022,1,1,F,20,20,39,2,1480,10000000,2024,12
4,T,2022,1,1,F,20,20,39,2,1480,10000000,2025,1
4,T,2022,1,1,F,20,20,39,2,1480,10000000,2025,2
4,T,2022,1,1,F,20,20,39,2,1480,10000000,2025,3
5,T,2019,5,16,M,30,30,71,5,5960,20000000,2024,4
5,T,2019,5,16,M,30,30,71,5,5960,20000000,2024,5
5,T,2019,5,16,M,30,30,71,5,5960,20000000,2024,6
5,T,2019,5,16,M,30,30,71,5,5960,20000000,2024,7
5,T,2019,5,16,M,30,30,71,2,5960,20000000,2024,8
5,T,2019,5,16,M,30,30,71,2,5960,20000000,2024,9
5,T,2019,5,16,M,30,30,71,2,5960,20000000,2024,10
5,T,2019,5,16,M,30,30,71,2,5960,20000000,2024,11
5,T,2019,5,16,M,30,30,71,2,5960,20000000,2024,12
5,T,2019,5,16,M,30,30,71,2,5960,20000000,2025,1
5,T,2019,5,16,M,30,30,71,2,5960,20000000,2025,2
5,T,2019,5,16,M,30,30,71,2,5960,20000000,2025,3
6,T,2020,8,28,F,40,10,56,2,6750,30000000,2024,4
6,T,2020,8,28,F,40,10,56,2,6750,30000000,2024,5
6,T,2020,8,28,F,40,10,56,2,6750,30000000,2024,6
6,T,2020,8,28,F,40,10,56,1,6750,30000000,2024,7
6,T,2020,8,28,F,40,10,56,1,6750,30000000,2024,8
6,T,2020,8,28,F,40,10,56,1,6750,30000000,2024,9
6,T,2020,8,28,F,40,10,56,1,6750,30000000,2024,10
6,T,2020,8,28,F,40,10,56,1,6750,30000000,2024,11
6,T,2020,8,28,F,40,10,56,1,6750,30000000,2024,12
6,T,2020,8,28,F,40,10,56,1,6750,30000000,2025,1
6,T,2020,8,28,F,40,10,56,1,6750,30000000,2025,2
6,T,2020,8,28,F,40,10,56,1,6750,30000000,2025,3
7,W,2021,11,14,M,20,A60,41,1,2078,1000000,2024,4
7,W,2021,11,14,M,20,A60,41,1,2078,1000000,2024,5
7,W,2021,11,14,M,20,A60,41,1,2078,1000000,2024,6
7,W,2021,11,14,M,20,A60,41,1,2078,1000000,2024,7
7,W,2021,11,14,M,20,A60,41,1,2078,1000000,2024,8
7,W,2021,11,14,M,20,A60,41,1,2078,1000000,2024,9
7,W,2021,11,14,M,20,A60,41,1,2078,1000000,2024,10
7,W,2021,11,14,M,20,A60,41,1,2078,1000000,2024,11
7,W,2021,11,14,M,20,A60,41,1,2078,1000000,2024,12
7,W,2021,11,14,M,20,A60,41,1,2078,1000000,2025,1
7,W,2021,11,14,M,20,A60,41,1,2078,1000000,2025,2
7,W,2021,11,14,M,20,A60,41,1,2078,1000000,2025,3
8,W,2022,6,23,F,30,A60,34,3,5416,2000000,2024,4
8,W,2022,6,23,F,30,A60,34,3,5416,2000000,2024,5
8,W,2022,6,23,F,30,A60,34,3,5416,2000000,2024,6
8,W,2022,6,23,F,30,A60,34,3,5416,2000000,2024,7
8,W,2022,6,23,F,30,A60,34,3,5416,2000000,2024,8
8,W,2022,6,23,F,30,A60,34,3,5416,2000000,2024,9
8,W,2022,6,23,F,30,A60,34,3,5416,2000000,2024,10
8,W,2022,6,23,F,30,A60,34,3,5416,2000000,2024,11
8,W,2022,6,23,F,30,A60,34,3,5416,2000000,2024,12
8,W,2022,6,23,F,30,A60,34,3,5416,2000000,2025,1
8,W,2022,6,23,F,30,A60,34,3,5416,2000000,2025,2
8,W,2022,6,23,F,30,A60,34,3,5416,2000000,2025,3
9,W,2019,9,16,M,40,A60,67,4,12543,3000000,2024,4
9,W,2019,9,16,M,40,A60,67,4,12543,3000000,2024,5
9,W,2019,9,16,M,40,A60,67,4,12543,3000000,2024,6
9,W,2019,9,16,M,40,A60,67,4,12543,3000000,2024,7
9,W,2019,9,16,M,40,A60,67,4,12543,3000000,2024,8
9,W,2019,9,16,M,40,A60,67,4,12543,3000000,2024,9
9,W,2019,9,16,M,40,A60,67,4,12543,3000000,2024,10
9,W,2019,9,16,M,40,A60,67,4,12543,3000000,2024,11
9,W,2019,9,16,M,40,A60,67,4,12543,3000000,2024,12
9,W,2019,9,16,M,40,A60,67,3,12543,3000000,2025,1
9,W,2019,9,16,M,40,A60,67,3,12543,3000000,2025,2
9,W,2019,9,16,M,40,A60,67,3,12543,3000000,2025,3
